id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
127;LOL;requests;1566789085.24852;-0.15048599243164062;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0363163/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0363163/;3890;404;True;
128;LOL;requests;1566789085.9018939;-0.22155427932739258;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt1126591/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt1126591/;3882;404;True;
129;LOL;requests;1566789086.6265779;-0.21274900436401367;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0085382/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0085382/;3921;404;True;
130;LOL;requests;1566789087.340776;-0.21543502807617188;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0460740/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0460740/;3911;404;True;
131;LOL;requests;1566789088.0616488;-0.21332716941833496;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0049366/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0049366/;3919;404;True;
132;LOL;requests;1566789088.7769852;-0.1605367660522461;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0333766/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0333766/;3881;404;True;
133;LOL;requests;1566789089.443645;-0.26518702507019043;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0120902/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0120902/;3882;404;True;
134;LOL;requests;1566789090.215793;-0.2096250057220459;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0120399/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0120399/;3982;404;True;
135;LOL;requests;1566789090.930594;-0.16578912734985352;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0233142/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0233142/;3902;404;True;
136;LOL;requests;1566789091.6028311;-0.2562267780303955;https://www.imdb.com/https://www.imdb.com//title/tt0050419/;https://www.imdb.com/https://www.imdb.com//title/tt0050419/;3871;404;True;
