id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
390;LOL;requests;1566464587.340935;-0.7036888599395752;https://www.imdb.com//title/tt0364569/;https://www.imdb.com//title/tt0364569/;219643;200;True;
391;LOL;requests;1566464588.7278259;-0.8590500354766846;https://www.imdb.com//title/tt0047296/;https://www.imdb.com//title/tt0047296/;222148;200;True;
392;LOL;requests;1566464590.312247;-0.6854469776153564;https://www.imdb.com//title/tt0047478/;https://www.imdb.com//title/tt0047478/;219791;200;True;
393;LOL;requests;1566464591.681961;-0.6323058605194092;https://www.imdb.com//title/tt1205489/;https://www.imdb.com//title/tt1205489/;221164;200;True;
394;LOL;requests;1566464593.080665;-0.9767518043518066;https://www.imdb.com//title/tt0073486/;https://www.imdb.com//title/tt0073486/;222224;200;True;
395;LOL;requests;1566464594.8348951;-0.5318238735198975;https://www.imdb.com//title/tt0120731/;https://www.imdb.com//title/tt0120731/;219209;200;True;
396;LOL;requests;1566464596.043319;-0.6289670467376709;https://www.imdb.com//title/tt0120689/;https://www.imdb.com//title/tt0120689/;230183;200;True;
397;LOL;requests;1566464597.3530052;-0.6305007934570312;https://www.imdb.com//title/tt5074352/;https://www.imdb.com//title/tt5074352/;243122;200;True;
398;LOL;requests;1566464598.634787;-0.7365589141845703;https://www.imdb.com//title/tt0062622/;https://www.imdb.com//title/tt0062622/;233595;200;True;
399;LOL;requests;1566464600.1438148;-0.6826591491699219;https://www.imdb.com//title/tt6966692/;https://www.imdb.com//title/tt6966692/;226791;200;True;
400;LOL;requests;1566464601.522433;-0.8371248245239258;https://www.imdb.com//title/tt0109830/;https://www.imdb.com//title/tt0109830/;228581;200;True;
401;LOL;requests;1566464603.0612638;-0.5956840515136719;https://www.imdb.com//title/tt0057012/;https://www.imdb.com//title/tt0057012/;236845;200;True;
402;LOL;requests;1566464604.342758;-0.9688050746917725;https://www.imdb.com//title/tt0087843/;https://www.imdb.com//title/tt0087843/;225352;200;True;
403;LOL;requests;1566464606.0284622;-0.6129846572875977;https://www.imdb.com//title/tt0041959/;https://www.imdb.com//title/tt0041959/;214386;200;True;
404;LOL;requests;1566464607.401105;-0.6599290370941162;https://www.imdb.com//title/tt0052357/;https://www.imdb.com//title/tt0052357/;220397;200;True;
405;LOL;requests;1566464608.741977;-0.730767011642456;https://www.imdb.com//title/tt0050976/;https://www.imdb.com//title/tt0050976/;212490;200;True;
406;LOL;requests;1566464610.148389;-0.5696687698364258;https://www.imdb.com//title/tt0050986/;https://www.imdb.com//title/tt0050986/;215545;200;True;
407;LOL;requests;1566464611.42225;-0.7636008262634277;https://www.imdb.com//title/tt1454029/;https://www.imdb.com//title/tt1454029/;226378;200;True;
408;LOL;requests;1566464612.870002;-0.6439199447631836;https://www.imdb.com//title/tt0031679/;https://www.imdb.com//title/tt0031679/;223485;200;True;
